Disease,Description
Fungal infection,Fungal infection is a common skin condition caused by fungi.
Allergy,Allergy is an immune system reaction to a substance in the environment.
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.
Peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
Diabetes,Diabetes is a chronic condition that affects how the body processes blood sugar.
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition."
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems."
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.
Chicken pox,Chicken pox is a highly contagious viral infection causing an itchy rash.
Dengue,Dengue is a mosquito-borne viral infection causing flu-like symptoms.
Typhoid,Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.
hepatitis A,hepatitis A is a viral liver disease.
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.
Common Cold,Common Cold is a viral infection of the upper respiratory tract.
Pneumonia,Pneumonia is an inflammatory condition affecting the air sacs in the lungs.
Dimorphic hemmorhoids(piles),Dimorphic hemmorhoids(piles) is a condition characterized by swollen blood vessels in the rectum.
Heart attack,Heart attack is a sudden and severe reduction in blood flow to the heart muscle.
Varicose veins,"Varicose veins are enlarged, twisted veins that usually appear on the legs."
Hypothyroidism,Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone.
Hyperthyroidism,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.
Hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood sugar levels.
Osteoarthristis,Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness."
(vertigo) Paroymsal Positional Vertigo,(Vertigo) Paroxysmal Positional Vertigo is a type of dizziness caused by specific head movements.
Acne,Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.
Urinary tract infection,Urinary tract infection is an infection in any part of the urinary system.
Psoriasis,"Psoriasis is a chronic skin condition characterized by red, itchy, and scaly patches."
Impetigo,Impetigo is a highly contagious skin infection causing red sores that can break open.
COVID-19,"COVID-19 is an infectious respiratory illness caused by the SARS-CoV-2 virus, characterized by fever, cough, loss of taste and smell, and in severe cases, breathing difficulty."
Appendicitis,"Appendicitis is an inflammation of the appendix causing sharp abdominal pain, nausea, and fever that requires prompt medical attention."
Kidney Stones,"Kidney stones are hard mineral deposits that form in the kidneys and cause severe flank or back pain, painful urination, and blood in urine."
Iron Deficiency Anemia,"Iron deficiency anemia occurs when the body lacks enough iron to produce sufficient hemoglobin, causing fatigue, weakness, and breathlessness."
Anxiety Disorder,"Anxiety disorder is a mental health condition characterized by excessive worry, restlessness, palpitations, and physical symptoms like sweating and chest tightness."
Clinical Depression,"Clinical depression is a mood disorder causing persistent feelings of sadness, hopelessness, fatigue, and loss of interest in daily activities."
Chronic Sinusitis,"Chronic sinusitis is a long-term inflammation of the sinuses causing nasal congestion, facial pressure, headache, and difficulty breathing through the nose."
Tonsillitis,"Tonsillitis is an inflammation of the tonsils causing severe sore throat, high fever, swollen lymph nodes, and difficulty swallowing."
Ear Infection,"Ear infection (otitis media) is an infection of the middle ear causing ear pain, fever, and temporary hearing loss."
Conjunctivitis,"Conjunctivitis (pink eye) is an inflammation of the eye's conjunctiva causing redness, discharge, itching, and watery eyes."
Shingles,"Shingles is a viral infection caused by reactivation of the chickenpox virus, producing a painful one-sided rash with blisters and nerve pain."
Measles,"Measles is a highly contagious viral illness characterized by red spots, high fever, cough, runny nose, and red watery eyes."
Gout,"Gout is a form of arthritis caused by high uric acid levels that form crystals in joints, causing sudden severe joint pain and swelling."
Irritable Bowel Syndrome,"Irritable Bowel Syndrome (IBS) is a chronic digestive disorder causing abdominal pain, bloating, and alternating constipation and diarrhea."
Pancreatitis,"Pancreatitis is an inflammation of the pancreas causing severe abdominal pain, nausea, vomiting, and fever, often requiring hospitalization."
Meningitis,"Meningitis is an infection of the membranes surrounding the brain and spinal cord, causing sudden severe headache, stiff neck, high fever, and sensitivity to light."
Chronic Kidney Disease,"Chronic kidney disease is a progressive loss of kidney function causing fatigue, swelling, nausea, and metabolic disturbances over time."
PCOS,"Polycystic Ovary Syndrome (PCOS) is a hormonal disorder in women causing irregular periods, excessive hair growth, acne, and fertility issues."
Celiac Disease,"Celiac disease is an autoimmune reaction to gluten that damages the small intestine, causing diarrhea, fatty stools, bloating, and malabsorption."
Fibromyalgia,"Fibromyalgia is a chronic pain disorder characterized by widespread musculoskeletal pain, fatigue, tender points, and cognitive difficulties."
Lupus,"Lupus (SLE) is a chronic autoimmune disease where the immune system attacks its own tissues, causing joint pain, butterfly rash, fatigue, and organ damage."
Multiple Sclerosis,"Multiple sclerosis is an autoimmune disease affecting the brain and spinal cord, causing muscle weakness, vision problems, balance issues, and fatigue."
Parkinson's Disease,"Parkinson's disease is a progressive neurological disorder affecting movement, causing tremors, muscle stiffness, loss of balance, and slowed movement."
Epilepsy,Epilepsy is a neurological disorder characterized by recurrent seizures due to abnormal electrical activity in the brain.
Gallstones,"Gallstones are hardened deposits of bile in the gallbladder causing abdominal pain, nausea, and jaundice when they block the bile duct."
