Unnamed: 0,Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
0.0,Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
1.0,Malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
2.0,Allergy,apply calamine,cover area with bandage,,use ice to compress itching
3.0,Hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep
4.0,Psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
5.0,GERD,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
6.0,Chronic cholestasis,cold baths,anti itch medicine,consult doctor,eat healthy
7.0,hepatitis A,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication
8.0,Osteoarthristis,acetaminophen,consult nearest hospital,follow up,salt baths
9.0,(vertigo) Paroymsal  Positional Vertigo,lie down,avoid sudden change in body,avoid abrupt head movment,relax
10.0,Hypoglycemia,lie down on side,check in pulse,drink sugary drinks,consult doctor
11.0,Acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
12.0,Diabetes ,have balanced diet,exercise,consult doctor,follow up
13.0,Impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
14.0,Hypertension ,meditation,salt baths,reduce stress,get proper sleep
15.0,Peptic ulcer diseae,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
16.0,Dimorphic hemmorhoids(piles),avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
17.0,Common Cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
18.0,Chicken pox,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
19.0,Cervical spondylosis,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
20.0,Hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment
21.0,Urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
22.0,Varicose veins,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
23.0,AIDS,avoid open cuts,wear ppe if possible,consult doctor,follow up
24.0,Paralysis (brain hemorrhage),massage,eat healthy,exercise,consult doctor
25.0,Typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication
26.0,Hepatitis B,consult nearest hospital,vaccination,eat healthy,medication
27.0,Fungal infection,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
28.0,Hepatitis C,Consult nearest hospital,vaccination,eat healthy,medication
29.0,Migraine,meditation,reduce stress,use poloroid glasses in sun,consult doctor
30.0,Bronchial Asthma,switch to loose cloothing,take deep breaths,get away from trigger,seek help
31.0,Alcoholic hepatitis,stop alcohol consumption,consult doctor,medication,follow up
32.0,Jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
33.0,Hepatitis E,stop alcohol consumption,rest,consult doctor,medication
34.0,Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
35.0,Hepatitis D,consult doctor,medication,eat healthy,follow up
36.0,Heart attack,call ambulance,chew or swallow asprin,keep calm,
37.0,Pneumonia,consult doctor,medication,rest,follow up
38.0,Arthritis,exercise,use hot and cold therapy,try acupuncture,massage
39.0,Gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
40.0,Tuberculosis,cover mouth,consult doctor,medication,rest
,COVID-19,isolate yourself,wear a mask,stay hydrated and rest,consult a doctor if breathing difficulty
